LA Neighborhood,Median Rank,Median Income,Diversity Rank,Diversity Index,Bank Count,Alt Bank Count,Average Income,Population Density Rank,Population Per Sq Mile,Square Miles,banks/person/mile,altbanks/person/mile
Irwindale,144,60959,249,0.212,3,0,68647,249,154,9.58225973628,0.019480519,0
Woodland Hills,48,89946,202,0.374,42,0,68647,181,4040, 14.768309648,0.01039604,0
Westlake Village,15,126550,238,0.261,12,0,68647,222,1534, 5.6464219287,0.007822686,0
Calabasas,16,126178,229,0.298,9,0,68647,224,1247,18.5426135082,0.007217322,0
Pacific Palisades,5,168008,250,0.21,4,0,68647,230,1048,22.8376013762,0.003816794,0
Diamond Bar,45,92414,21,0.687,14,0,68647,186,3754,15.1260322873,0.003729355,0
Malibu,10,138215,252,0.207,2,0,68647,242,629,19.8863310758,0.00317965,0
La Cañada Flintridge,8,148996,168,0.457,6,0,68647,210,2369,8.60460339,0.002532714,0
West Hills,35,103008,161,0.47,10,0,68647,174,4551,8.52807835884,0.002197319,0
Commerce,207,46245,258,0.125,4,0,68647,218,1912,6.58056684961,0.00209205,0
San Marino,7,158855,90,0.584,6,0,68647,190,3428,3.78416933627,0.001750292,0
Porter Ranch,20,121428,107,0.551,7,0,68647,178,4462,5.58616965872,0.001568803,0
Hacienda Heights,70,80762,31,0.674,7,0,68647,176,4503,11.8870540287,0.001554519,0
Monterey Park,170,55210,124,0.537,12,0,68647,128,7823,7.66088538663,0.001533938,0
Windsor Square,140,61767,36,0.661,10,0,68647,124,8255,.683463802484,0.001211387,0
Playa Vista,102,68597,10,0.722,2,0,68647,219,1859,1.29929176452,0.001075847,0
Palos Verdes Estates,6,167344,192,0.398,3,0,68647,200,2822,4.72720407914,0.001063076,0
Century City,38,95135,222,0.309,8,0,68647,127,7869,.700611362635,0.001016648,0
Shadow Hills,63,82796,102,0.562,1,0,68647,231,1023,12.8068716307,0.000977517,0
La Crescenta-Montrose,64,82693,143,0.514,5,0,68647,165,5401,3.42644417184,0.000925754,0
Ladera Heights,22,117925,170,0.456,2,0,68647,213,2214,2.93973763627,0.000903342,0
Artesia,147,60538,13,0.706,9,0,68647,93,10036,1.63220417689,0.000896772,0
Beverly Crest,4,169282,245,0.23,1,0,68647,223,1318,8.23609299869,0.000758725,0
West Compton,201,48093,122,0.539,2,0,68647,193,3291,1.65436407239,0.000607718,0
South Pasadena,77,76229,45,0.651,4,0,68647,139,7114,3.41641890402,0.000562272,0
Toluca Lake,85,73111,167,0.457,3,0,68647,150,6393,1.21722776833,0.000469263,0
Los Feliz,190,50793,75,0.61,6,0,68647,50,13512,2.60795509818,0.00044405,0
Fairfax,120,65938,232,0.277,4,0,68647,92,10122,1.23396477314,0.000395179,0
Marina del Rey,44,92763,201,0.377,2,0,68647,161,5706,1.45477168604,0.000350508,0
Hollywood Hills West,29,108199,233,0.273,1,0,68647,198,3048,4.87457437609,0.000328084,0
Hermosa Beach,27,109509,234,0.272,4,0,68647,60,12481,1.47762686009,0.000320487,0
Carthay,90,71398,73,0.615,3,0,68647,104,9642,.504675757272,0.000311139,0
Lomita,149,59059,68,0.626,3,0,68647,86,10424,1.91718201513,0.000287797,0
Sierra Madre,51,88008,207,0.353,1,0,68647,188,3563,2.96879374235,0.000280662,0
Mar Vista,135,62611,60,0.634,3,0,68647,63,12259,2.89525385641,0.000244718,0
Atwater Village,175,53872,50,0.645,2,0,68647,121,8379,1.77689394489,0.000238692,0
Cheviot Hills,26,111813,204,0.364,1,0,68647,175,4520,1.53643338074,0.000221239,0
Chinatown,263,22754,176,0.445,2,0,68647,83,10568,.909367075497,0.000189251,0
Pico-Robertson,131,63356,178,0.442,3,0,68647,26,17468,1.03155644743,0.000171743,0
Avocado Heights,128,64544,205,0.362,1,0,68647,156,5907,2.94845892743,0.000169291,0
